Iter,Best_MSE_K,Best_VC_K
0,3,5
1,5,5
2,3,5
3,5,5
4,3,3
5,3,3
6,3,3
7,3,3
8,3,5
9,3,3
10,3,3
11,3,3
12,5,5
13,5,5
14,3,3
15,3,3
16,3,3
17,5,5
18,3,3
19,3,3
20,5,5
21,3,5
22,3,5
23,3,3
24,3,5
25,3,5
26,3,3
27,3,5
28,3,3
29,5,5
30,5,5
31,5,5
32,5,5
33,3,5
34,3,3
35,3,3
36,3,3
37,3,3
38,3,7
39,3,3
40,3,3
41,3,3
42,5,5
43,5,5
44,5,5
45,3,3
46,5,5
47,5,5
48,3,3
49,5,5
50,5,7
51,3,3
52,3,5
53,3,5
54,3,3
55,3,3
56,3,3
57,3,5
58,3,5
59,5,5
60,3,5
61,5,5
62,3,5
63,5,5
64,3,3
65,3,5
66,5,5
67,3,5
68,3,3
69,3,5
70,5,5
71,3,3
72,5,5
73,3,3
74,3,3
75,3,3
76,3,5
77,3,3
78,3,5
79,3,3
80,3,5
81,3,5
82,3,3
83,5,5
84,3,3
85,5,5
86,3,3
87,3,5
88,5,5
89,3,3
90,3,5
91,3,3
92,3,3
93,3,3
94,3,3
95,3,3
96,3,5
97,3,5
98,5,5
99,3,3
